PARCEL_ID	FULLTEXT	TYPE	TOWN	PLAT	BLOCK	LOT	BLM	RANGE	TOWNSHIP	SECTION	PART	DESCRIP	AREA
317	West/2 Southwest/4 S6 T6 North R8 West 4th PM: Particularly described in a certain deed from John Barnett and wife to party of the first part (also Joseph Smith as sole trustee) 15 January 1844.	plss					4th PM	8 West	6 North	6	West/2 Southwest/4	Particularly described in a certain deed from John Barnett and wife to party of the first part (also Joseph Smith as sole trustee) 15 January 1844.	2
318	Nauvoo:Kimball:1, 2, 3, 4, 5, 6:::	town	Nauvoo	Kimball	1, 2, 3, 4, 5, 6								
319	Nauvoo:Hyrum Smith:10:3::	town	Nauvoo	Hyrum Smith	10	3							
320	Nauvoo:Hyrum Smith:8:2:East/2:	town	Nauvoo	Hyrum Smith	8	2					East/2		
321	Nauvoo:Hyrum Smith:11:4:North/2:	town	Nauvoo	Hyrum Smith	11	4					North/2		
322	Nauvoo:Hyrum Smith:3:4::	town	Nauvoo	Hyrum Smith	3	4							
323	Nauvoo:Hyrum Smith:8:1:North/2:	town	Nauvoo	Hyrum Smith	8	1					North/2		
324	Nauvoo:Nauvoo:166:4::	town	Nauvoo	Nauvoo	166	4							
325	Nauvoo:Nauvoo:120:1::	town	Nauvoo	Nauvoo	120	1							
326	Nauvoo:Nauvoo:146:1::	town	Nauvoo	Nauvoo	146	1							
327	Nauvoo:Nauvoo:150:3:East/2:	town	Nauvoo	Nauvoo	150	3					East/2		
328	Nauvoo:Nauvoo:150:4::	town	Nauvoo	Nauvoo	150	4							
329	South/2 Northeast/4 S36 T7 North R9 West 4th PM: 	plss					4th PM	9 West	7 North	36	South/2 Northeast/4		
330	Northeast/4 S12 T6 North R8 West 4th PM: 	plss					4th PM	8 West	6 North	12	Northeast/4		
331	Northeast/4 S33 T7 North R8 West 4th PM: 	plss					4th PM	8 West	7 North	33	Northeast/4		
332	Northwest/4 of Southeast/4 S15 T6 North R8 West 4th PM: 	plss					4th PM	8 West	6 North	15	Northwest/4 of Southeast/4		
333	Southeast/4 S5 T6 North R8 West 4th PM: 	plss					4th PM	8 West	6 North	5	Southeast/4		
334	Northeast/4 S9 T6 North R8 West 4th PM: 	plss					4th PM	8 West	6 North	9	Northeast/4		
335	Southwest/4 S19 T6 North R8 West 4th PM: 	plss					4th PM	8 West	6 North	19	Southwest/4		
336	West/2 Northeast/4 S35 T7 North R8 West 4th PM: 	plss					4th PM	8 West	7 North	35	West/2 Northeast/4		
337	Nauvoo:Nauvoo:106:4:West/4:	town	Nauvoo	Nauvoo	106	4					West/4		
338	Nauvoo:Nauvoo:80:4 :West 40 feet:	town	Nauvoo	Nauvoo	80	4 					West 40 feet		
339	Nauvoo:Nauvoo:80:3::	town	Nauvoo	Nauvoo	80	3							
340	Nauvoo:Wells:16:3::Beginning 21 feet West of Southeast corner Lot 3; West 21 feet; North 10 Rods; East 21 feet; South to beginning. Also East/2 of South/2 of Lot 83, Block 1, Kimball Addition.	town	Nauvoo	Wells	16	3						Beginning 21 feet West of Southeast corner Lot 3; West 21 feet; North 10 Rods; East 21 feet; South to beginning. Also East/2 of South/2 of Lot 83, Block 1, Kimball Addition.	
341	Nauvoo:Herringshaw and Thompson Second:12:1::	town	Nauvoo	Herringshaw and Thompson Second	12	1							
342	Nauvoo:Kimball:6:29::Commence 5 1/2 Rods North of North line Kimball where cosses center Rich Street; North 5 1/2 Rods; West 13 1/2 Rods; South 5 1/2 Rods; East 13 1/2 Rods to beginning.	town	Nauvoo	Kimball	6	29						Commence 5 1/2 Rods North of North line Kimball where cosses center Rich Street; North 5 1/2 Rods; West 13 1/2 Rods; South 5 1/2 Rods; East 13 1/2 Rods to beginning.	
343	Nauvoo:Nauvoo:117:4::	town	Nauvoo	Nauvoo	117	4							
344	West/2 Northeast/4 S30 T7 North R8 West 4th PM: 	plss					4th PM	8 West	7 North	30	West/2 Northeast/4		80
345	East side Northwest/4 S30 T7 North R8 West 4th PM: 	plss					4th PM	8 West	7 North	30	East side Northwest/4		36
346	Nauvoo:Nauvoo:68:2::	town	Nauvoo	Nauvoo	68	2							
347	Nauvoo:Nauvoo:80:1::	town	Nauvoo	Nauvoo	80	1							
348	Nauvoo:Nauvoo:122:3:West/2 East/2:	town	Nauvoo	Nauvoo	122	3					West/2 East/2		
349	Nauvoo:Nauvoo:108:1::	town	Nauvoo	Nauvoo	108	1							
350	Nauvoo:Nauvoo:101:1:North/2 South/2 and South/2 North:With building known as Masonic Hall thereon.	town	Nauvoo	Nauvoo	101	1					North/2 South/2 and South/2 North	With building known as Masonic Hall thereon.	
351	Nauvoo:Nauvoo:108:1::	town	Nauvoo	Nauvoo	108	1							
352	Nauvoo:Nauvoo:150:4::Commence 60 feet from Southwest corner running East on Water Street; 30 feet running to beginning; back 102 feet; West 30 feet; South 102 feet to beginning &quot;that certain farm on piece of land.&quot;	town	Nauvoo	Nauvoo	150	4						Commence 60 feet from Southwest corner running East on Water Street; 30 feet running to beginning; back 102 feet; West 30 feet; South 102 feet to beginning &quot;that certain farm on piece of land.&quot;	
353	Nauvoo:Kimball:2:74::Commence Southeast corner Lot 74; North to center Mulholland about 8 3/4 Rods; West to Fullmer Street, about 5 1.2 Rods; South to South line; East to beginning.	town	Nauvoo	Kimball	2	74						Commence Southeast corner Lot 74; North to center Mulholland about 8 3/4 Rods; West to Fullmer Street, about 5 1.2 Rods; South to South line; East to beginning.	
354	Nauvoo:Nauvoo:116:4:Northeast/4 :Bounded South by LaBao; East by center Granger; North by center of said Block.	town	Nauvoo	Nauvoo	116	4					Northeast/4 	Bounded South by LaBao; East by center Granger; North by center of said Block.	1/4
355	Nauvoo:Nauvoo:7:4::	town	Nauvoo	Nauvoo	7	4							
356	Nauvoo:Nauvoo:117:4::	town	Nauvoo	Nauvoo	117	4							
357	Nauvoo:Nauvoo:83:1:East/2:	town	Nauvoo	Nauvoo	83	1					East/2		
358	Nauvoo:Hibbard:9:4::	town	Nauvoo	Hibbard	9	4							
359	Nauvoo:Nauvoo:68:1::	town	Nauvoo	Nauvoo	68	1							
360	Nauvoo:Nauvoo:106:3::	town	Nauvoo	Nauvoo	106	3							
361	Nauvoo:Nauvoo:141:2::Beginning at corner of Parley Street; East 155 1/2 feet; South 132 feet; West 155 1/2 feet; North 132 feet to beginning; with a store house thereon standing and a building attached to same (store and dwelling).	town	Nauvoo	Nauvoo	141	2						Beginning at corner of Parley Street; East 155 1/2 feet; South 132 feet; West 155 1/2 feet; North 132 feet to beginning; with a store house thereon standing and a building attached to same (store and dwelling).	
362	Nauvoo:Nauvoo:143:4::	town	Nauvoo	Nauvoo	143	4							
363	Southeast/4 S9 T6 North R8 West 4th PM: Except 60 Acres off South side of above described.	plss					4th PM	8 West	6 North	9	Southeast/4	Except 60 Acres off South side of above described.	
364	Northwest Northwest/4 S5 T6 North R8 West 4th PM: 	plss					4th PM	8 West	6 North	5	Northwest Northwest/4		40
365	Nauvoo:Nauvoo:72:4::	town	Nauvoo	Nauvoo	72	4							
366	Nauvoo:Kimball:6:32::Commence Northwest corner Lot 32: South 9 1/2 Rods 6 feet 3 inches to [William] Playe line; East 12 Rods; North 9 1/2 Rods 6 eet 3 inches; West 12 Rods to beginning.	town	Nauvoo	Kimball	6	32						Commence Northwest corner Lot 32: South 9 1/2 Rods 6 feet 3 inches to [William] Playe line; East 12 Rods; North 9 1/2 Rods 6 eet 3 inches; West 12 Rods to beginning.	
367	Nauvoo:Warrington:36:All::	town	Nauvoo	Warrington	36	All							
368	Nauvoo:Nauvoo:68:3::Commence 66 feet South of Northeast corner said Lot; West to West boundary; South to South boundary; East to East line; North to beginning.	town	Nauvoo	Nauvoo	68	3						Commence 66 feet South of Northeast corner said Lot; West to West boundary; South to South boundary; East to East line; North to beginning.	
369	Southeast South/2 S5 T6 North R8 West 4th PM: Beginning 103 Rods 3 links East of Southwest corner Southeast/4 Section 5; North 79 Rods 1 link; West 22 Rods 3 links; South 53 Rods 8 links; East 6 Rods; South 26 Rods 17 links; East 16 Rods 3 links to beginning. Also 1 Acre on Southeast/4 Section 5; lying on corner of land enclosed by Truman Brace on Southeast corner of the same. Complicated Description.	plss					4th PM	8 West	6 North	5	Southeast South/2	Beginning 103 Rods 3 links East of Southwest corner Southeast/4 Section 5; North 79 Rods 1 link; West 22 Rods 3 links; South 53 Rods 8 links; East 6 Rods; South 26 Rods 17 links; East 16 Rods 3 links to beginning. Also 1 Acre on Southeast/4 Section 5; lying on corner of land enclosed by Truman Brace on Southeast corner of the same. Complicated Description.	10
370	Nauvoo:Kimball:2:74::	town	Nauvoo	Kimball	2	74							
371	Ramus/Macedonia/Webster:Macedonia:1:2::	town	Ramus/Macedonia/Webster	Macedonia	1	2							
372	Nauvoo:Nauvoo:136:1::	town	Nauvoo	Nauvoo	136	1							
373	Nauvoo:Nauvoo:139:2::	town	Nauvoo	Nauvoo	139	2							
374	Nauvoo:Nauvoo:127:4:South/2 North/2:	town	Nauvoo	Nauvoo	127	4					South/2 North/2		
375	Nauvoo:Nauvoo:138:1:West/2:	town	Nauvoo	Nauvoo	138	1					West/2		
376	Nauvoo:Nauvoo:121:2:West/2:	town	Nauvoo	Nauvoo	121	2					West/2		
377	Nauvoo:Nauvoo:124:1:South/2:	town	Nauvoo	Nauvoo	124	1					South/2		
378	Nauvoo:Nauvoo:124:4:North/2:	town	Nauvoo	Nauvoo	124	4					North/2		
379	Nauvoo:Nauvoo:124:5:Southeast/4:	town	Nauvoo	Nauvoo	124	5					Southeast/4		
380	Nauvoo:Nauvoo:106:2::Beginning 50 feet North of Southwest corner: East to East line; North 35 feet; West to West line; South 35 feet to beginning.	town	Nauvoo	Nauvoo	106	2						Beginning 50 feet North of Southwest corner: East to East line; North 35 feet; West to West line; South 35 feet to beginning.	
381	Nauvoo:Nauvoo:103:4 ::Beginning at Southwest corner Lot 4; East along North line of Hotchkiss Street 140 feet; North 11 Rods to North boundary; West 140 feet to West boundary; South 11 Rods to beginning.	town	Nauvoo	Nauvoo	103	4 						Beginning at Southwest corner Lot 4; East along North line of Hotchkiss Street 140 feet; North 11 Rods to North boundary; West 140 feet to West boundary; South 11 Rods to beginning.	
382	Nauvoo:Nauvoo:106:2::Commence 50 feet North of Southeast corner; East 11 Rods; North 35 feet; West 11 Rods; South 35 feet to beginning. 	town	Nauvoo	Nauvoo	106	2						Commence 50 feet North of Southeast corner; East 11 Rods; North 35 feet; West 11 Rods; South 35 feet to beginning. 	
383	West/2 Northwest/4 S12 T6 North R8 West 4th PM: Except 40 Acres square in Southwest corner said West/2 previously sold to one Hill.	plss					4th PM	8 West	6 North	12	West/2 Northwest/4	Except 40 Acres square in Southwest corner said West/2 previously sold to one Hill.	
384	Ramus/Macedonia/Webster:First Addition:8:2::	town	Ramus/Macedonia/Webster	First Addition	8	2							
385	Ramus/Macedonia/Webster:First Addition:15:1::	town	Ramus/Macedonia/Webster	First Addition	15	1							
386	Nauvoo:Nauvoo:159:4:Part fractional Lot:Being South/2 of West/2 of East/2 said Lot and a strip half the length said Lot off Southwest corner of East/4 said Lot 5 feet wide; also strip 12 feet wide one half length said Lot off Southeast corner of West/2 said Lot.	town	Nauvoo	Nauvoo	159	4					Part fractional Lot	Being South/2 of West/2 of East/2 said Lot and a strip half the length said Lot off Southwest corner of East/4 said Lot 5 feet wide; also strip 12 feet wide one half length said Lot off Southeast corner of West/2 said Lot.	
387	Nauvoo:Heirs of James Robison:1:1::	town	Nauvoo	Heirs of James Robison	1	1							
388	Nauvoo:Kimball:6:32::Commence 1 1/2 Rods East of Northwest corner Lot 32 and South 174 feet from said corner; East 13 1/2 Rods; South 12 1/2 Rods to center Kimball Street; West 13 1/2 Rods; North 12 1/2 Rods to beginning.	town	Nauvoo	Kimball	6	32						Commence 1 1/2 Rods East of Northwest corner Lot 32 and South 174 feet from said corner; East 13 1/2 Rods; South 12 1/2 Rods to center Kimball Street; West 13 1/2 Rods; North 12 1/2 Rods to beginning.	
389	Nauvoo:Wells:6:3::Beginning corner Young and Wells streets; East 24 feet 6 inches; North 45 feet; East 25 feet; North 45 feet; West to Wells Street; South to beginning.	town	Nauvoo	Wells	6	3						Beginning corner Young and Wells streets; East 24 feet 6 inches; North 45 feet; East 25 feet; North 45 feet; West to Wells Street; South to beginning.	
390	Ramus/Macedonia/Webster:Macedonia:13:3:West/2:	town	Ramus/Macedonia/Webster	Macedonia	13	3					West/2		
391	Nauvoo:Nauvoo:127:4:South/2 North/2:	town	Nauvoo	Nauvoo	127	4					South/2 North/2		
392	Nauvoo:Kimball:6:31::With good double brick house, 2 stories high, 25 by 14 feet; good well; good cellar; well fenced, value about $500.00.	town	Nauvoo	Kimball	6	31						With good double brick house, 2 stories high, 25 by 14 feet; good well; good cellar; well fenced, value about $500.00.	
393	Nauvoo:Fullmer::11::	town	Nauvoo	Fullmer		11							
394	Nauvoo:Nauvoo:126:1:North/2 South/2:	town	Nauvoo	Nauvoo	126	1					North/2 South/2		
395	Nauvoo:Nauvoo:120:1:East 2/3:	town	Nauvoo	Nauvoo	120	1					East 2/3		
396	Nauvoo:Nauvoo:106:4:East/2 West/2:	town	Nauvoo	Nauvoo	106	4					East/2 West/2		
397	Nauvoo:Nauvoo:125:2:1 and Part :(1) Commence 24 feet from Northeast corner said Lot; sp 20 feet 9 inches; East 40 feet; North 6 feet; West 20 feet to beginning.	town	Nauvoo	Nauvoo	125	2					1 and Part 	(1) Commence 24 feet from Northeast corner said Lot; sp 20 feet 9 inches; East 40 feet; North 6 feet; West 20 feet to beginning.	
398	Part South/2 Northwest/4 S36 T7 North R9 West 4th PM: (2) Commence 8 Rods from Northeast corner of said 1/4; thence West 8 Rods; South 20 Rods; East 8 Rods; North to beginning.	plss					4th PM	9 West	7 North	36	Part South/2 Northwest/4	(2) Commence 8 Rods from Northeast corner of said 1/4; thence West 8 Rods; South 20 Rods; East 8 Rods; North to beginning.	
399	Nauvoo:Brigham Young:8:1::	town	Nauvoo	Brigham Young	8	1							
400	Nauvoo:Brigham Young:8:4 ::7/8th of Lot 4, on the East, running front Mulholland Street on the South and Lot 1 on the North.	town	Nauvoo	Brigham Young	8	4 						7/8th of Lot 4, on the East, running front Mulholland Street on the South and Lot 1 on the North.	
401	Nauvoo:Nauvoo:138:4:South/2:	town	Nauvoo	Nauvoo	138	4					South/2		
402	Nauvoo:Kimball:3:12:South/3:10 Rods in width; 14 Rods in length.	town	Nauvoo	Kimball	3	12					South/3	10 Rods in width; 14 Rods in length.	
403	Nauvoo:Wells:17:1:Southeast/4:Except 31 feet front and 6 Rods back on South part said Lot.	town	Nauvoo	Wells	17	1					Southeast/4	Except 31 feet front and 6 Rods back on South part said Lot.	40
404	North/2 Southwest/4 S31 T7 North R8 West 4th PM: 	plss					4th PM	8 West	7 North	31	North/2 Southwest/4		50
405	North/2 West/2 Northeast/4 S36 T7 North R9 West 4th PM: Except 11 1/2 Acres South part.	plss					4th PM	9 West	7 North	36	North/2 West/2 Northeast/4	Except 11 1/2 Acres South part.	
406	North Part North/2 Northwest/4 S36 T7 North R9 West 4th PM: Except 5 Acres of Northwest corner.	plss					4th PM	9 West	7 North	36	North Part North/2 Northwest/4	Except 5 Acres of Northwest corner.	
407	Nauvoo:Fullmer::2::	town	Nauvoo	Fullmer		2							
408	Nauvoo:Nauvoo:106:1::	town	Nauvoo	Nauvoo	106	1							
409	Nauvoo:Nauvoo:82:2::	town	Nauvoo	Nauvoo	82	2							
410	Ramus/Macedonia/Webster:Macedonia:6:1 and 4::	town	Ramus/Macedonia/Webster	Macedonia	6	1 and 4							
411	Ramus/Macedonia/Webster:Macedonia:7:1 and 4::	town	Ramus/Macedonia/Webster	Macedonia	7	1 and 4							
412	Ramus/Macedonia/Webster:Macedonia:10:1::	town	Ramus/Macedonia/Webster	Macedonia	10	1							
413	Ramus/Macedonia/Webster:Macedonia:9:1 and 2::	town	Ramus/Macedonia/Webster	Macedonia	9	1 and 2							
414	Ramus/Macedonia/Webster:First Addition:8:3 and 4::	town	Ramus/Macedonia/Webster	First Addition	8	3 and 4							
415	Ramus/Macedonia/Webster:Macedonia:5:2 and 4::	town	Ramus/Macedonia/Webster	Macedonia	5	2 and 4							
416	Ramus/Macedonia/Webster:Macedonia:3:3::	town	Ramus/Macedonia/Webster	Macedonia	3	3							
417	Nauvoo:Nauvoo:122:1:Front:	town	Nauvoo	Nauvoo	122	1					Front		
418	Nauvoo:Nauvoo:122:2::	town	Nauvoo	Nauvoo	122	2							
419	Nauvoo:Nauvoo:103:3:South 3/4:	town	Nauvoo	Nauvoo	103	3					South 3/4		
420	Nauvoo:Wells:2:4:East/2 West/2:	town	Nauvoo	Wells	2	4					East/2 West/2		
421	Part Southeast S25 T7 North R8 West 4th PM: 	plss					4th PM	8 West	7 North	25	Part Southeast		
422	Ramus/Macedonia/Webster:Macedonia:9:2, 3, and 4::	town	Ramus/Macedonia/Webster	Macedonia	9	2, 3, and 4							
423	Ramus/Macedonia/Webster:Macedonia:15:2 and 4::	town	Ramus/Macedonia/Webster	Macedonia	15	2 and 4							
424	Nauvoo:Nauvoo:145:2:Northeast/4:	town	Nauvoo	Nauvoo	145	2					Northeast/4		
425	Ramus/Macedonia/Webster:Macedonia:15:3::	town	Ramus/Macedonia/Webster	Macedonia	15	3							
426	Nauvoo:Nauvoo:162:1:Factioal Lot:	town	Nauvoo	Nauvoo	162	1					Factioal Lot		
427	Ramus/Macedonia/Webster:Macedonia:23:2::	town	Ramus/Macedonia/Webster	Macedonia	23	2							
428	Nauvoo:Nauvoo:79:4:North/2 and East/2 South/2:	town	Nauvoo	Nauvoo	79	4					North/2 and East/2 South/2		
429	Nauvoo:Nauvoo:149:4:: description: Excluding Southeast corner 80 feet North/South by 50 feet East/West.	town	Nauvoo	Nauvoo	149	4						 description: Excluding Southeast corner 80 feet North/South by 50 feet East/West.	
430	Nauvoo:Nauvoo:127:2::	town	Nauvoo	Nauvoo	127	2							
431	Nauvoo:Nauvoo:69:3::Commence Northeast corner Lot 3; West 44 feet; South to center said Lot; East 44 feet; North to beginning.	town	Nauvoo	Nauvoo	69	3						Commence Northeast corner Lot 3; West 44 feet; South to center said Lot; East 44 feet; North to beginning.	
432	30 acres from the North end by a parallel line off the West/2 Southwest/4 S32 T6 North R5 West 4th PM: 	plss					4th PM	5 West	6 North	32	30 acres from the North end by a parallel line off the West/2 Southwest/4		30
433	Nauvoo:Nauvoo:154:2::Commence 50 feet from Northwest corner said Lot; East 50 feet on Water Street; South on line parallel with West end said Lot; thence up river on said street to corner land deeded John Bills; thence North to beginning.	town	Nauvoo	Nauvoo	154	2						Commence 50 feet from Northwest corner said Lot; East 50 feet on Water Street; South on line parallel with West end said Lot; thence up river on said street to corner land deeded John Bills; thence North to beginning.	
434	Nauvoo:Nauvoo:151:2:East/2:	town	Nauvoo	Nauvoo	151	2					East/2		
435	Nauvoo:Nauvoo:108:2 ::Except 50 feet square in Northwest corner.	town	Nauvoo	Nauvoo	108	2 						Except 50 feet square in Northwest corner.	
436	Nauvoo:Nauvoo:69:3::Commence 40 feet West from Northeast corner Lot 3; West 59 feet; South 6 ½ Rods; East 59 feet; North 6 ½ Rods to beginning.	town	Nauvoo	Nauvoo	69	3						Commence 40 feet West from Northeast corner Lot 3; West 59 feet; South 6 ½ Rods; East 59 feet; North 6 ½ Rods to beginning.	
437	Nauvoo:Wells:6:3::Beginning corner Young and Wells streets; East 24 feet 6 inches; North 45 feet; East 25 feet; North 45 feet; West to Wells Street; South to beginning.	town	Nauvoo	Wells	6	3						Beginning corner Young and Wells streets; East 24 feet 6 inches; North 45 feet; East 25 feet; North 45 feet; West to Wells Street; South to beginning.	
438	Nauvoo:Hibbard:6:2::	town	Nauvoo	Hibbard	6	2							
439	Nauvoo:Wells:16:4::Beginning 19 feet from Southeast corner; North 9 Rods 5 feet; West 29 feet 6 inches South 9 Rods 4 feet; East to place of beginning with privilege of joining a house to James Procter brick house.	town	Nauvoo	Wells	16	4						Beginning 19 feet from Southeast corner; North 9 Rods 5 feet; West 29 feet 6 inches South 9 Rods 4 feet; East to place of beginning with privilege of joining a house to James Procter brick house.	
440	Northeast/4 S31 T7 North R8 West 4th PM: Beginning Southeast corner of Northeast/4 Section 31; North 40 Rods; West 80 Rods; South 40 Rods; East to beginning.	plss					4th PM	8 West	7 North	31	Northeast/4	Beginning Southeast corner of Northeast/4 Section 31; North 40 Rods; West 80 Rods; South 40 Rods; East to beginning.	20
441	Nauvoo:Wells:16:3::Beginning Southeast corner Lot 3; West 21 feet; North to North line; East 21 feet to Northeast corner; South to beginning. 	town	Nauvoo	Wells	16	3						Beginning Southeast corner Lot 3; West 21 feet; North to North line; East 21 feet to Northeast corner; South to beginning. 	
442	Nauvoo:Nauvoo:119:1:1/6 :Being in Southeast corner said Lot.	town	Nauvoo	Nauvoo	119	1					1/6 	Being in Southeast corner said Lot.	
443	Nauvoo:Nauvoo:106:2:North/2:	town	Nauvoo	Nauvoo	106	2					North/2		
444	Nauvoo:Nauvoo:150:2:West 3/4:	town	Nauvoo	Nauvoo	150	2					West 3/4		
445	Nauvoo:Nauvoo:124:3::Commencing Southwest corner Lot 3; East/West 99 feet by 105 feet 9 inches North/South.	town	Nauvoo	Nauvoo	124	3						Commencing Southwest corner Lot 3; East/West 99 feet by 105 feet 9 inches North/South.	
446	Nauvoo:Nauvoo:124:3::Commence Northwest corner East whole Legth; South 75 feet 9 inches; West to West line; North 75 feet 9 inches to beginning. Also North/4 said Lot 3 in Block 124.	town	Nauvoo	Nauvoo	124	3						Commence Northwest corner East whole Legth; South 75 feet 9 inches; West to West line; North 75 feet 9 inches to beginning. Also North/4 said Lot 3 in Block 124.	
447	West/2 Southwest/4 S6 T6 North R8 West 4th PM: Beginning Northeast corner West/2 Southwest/4; South 53 Rods 3 links to center Parley; West 23 Rods 6 links to center Spear Street; North 26 Rods 12 links; East 2 Rods 17 links to Southeast corner; 4 Acre Lot of heirs of Joseph Smith; North 25 Rods 6 links; East 20 Rods 7 links to beginning.	plss					4th PM	8 West	6 North	6	West/2 Southwest/4	Beginning Northeast corner West/2 Southwest/4; South 53 Rods 3 links to center Parley; West 23 Rods 6 links to center Spear Street; North 26 Rods 12 links; East 2 Rods 17 links to Southeast corner; 4 Acre Lot of heirs of Joseph Smith; North 25 Rods 6 links; East 20 Rods 7 links to beginning.	
448	Nauvoo:Kimball:3:16 and 17::Bounded West by Bluff Street; except so much as lies North of Hotchkiss Street deeded to Hey I. Doeius.	town	Nauvoo	Kimball	3	16 and 17						Bounded West by Bluff Street; except so much as lies North of Hotchkiss Street deeded to Hey I. Doeius.	
449	Nauvoo:Nauvoo:82:3::	town	Nauvoo	Nauvoo	82	3							
450	Nauvoo:Nauvoo:83:1:East/2:	town	Nauvoo	Nauvoo	83	1					East/2		
451	Nauvoo:Nauvoo:119:3:North 2/3:	town	Nauvoo	Nauvoo	119	3					North 2/3		
452	Ramus/Macedonia/Webster:Macedonia:10:4::	town	Ramus/Macedonia/Webster	Macedonia	10	4							
453	Nauvoo:Nauvoo:69:3::Commence Southeast corner Lot 3; West 43 1/2 feet; North 74 feet; East 43 1/2 feet; South 74 feet to beginning.	town	Nauvoo	Nauvoo	69	3						Commence Southeast corner Lot 3; West 43 1/2 feet; North 74 feet; East 43 1/2 feet; South 74 feet to beginning.	
454	Nauvoo:Warrington:9::North/2:	town	Nauvoo	Warrington	9						North/2		
455	Nauvoo:Warrington:10:::	town	Nauvoo	Warrington	10								
456	Nauvoo:Warrington:11::East/2:	town	Nauvoo	Warrington	11						East/2		
457	Nauvoo:Warrington:8::North/2:	town	Nauvoo	Warrington	8						North/2		
458	Ramus/Macedonia/Webster:Macedonia:13:2:West 3/4:	town	Ramus/Macedonia/Webster	Macedonia	13	2					West 3/4		
459	Nauvoo:Nauvoo:83:4::	town	Nauvoo	Nauvoo	83	4							
460	Nauvoo:Nauvoo:67:1::	town	Nauvoo	Nauvoo	67	1							
461	Ramus/Macedonia/Webster:Macedonia:2:1::	town	Ramus/Macedonia/Webster	Macedonia	2	1							
462	Northeast/4 S33 T7 North R8 West 4th PM: Northeast/4 except 60 Acres of East side said quarter.	plss					4th PM	8 West	7 North	33	Northeast/4	Northeast/4 except 60 Acres of East side said quarter.	
463	Nauvoo:Nauvoo:104:2::Resevig so much on West side as is used for a buyig ground.	town	Nauvoo	Nauvoo	104	2						Resevig so much on West side as is used for a buyig ground.	
464	Nauvoo:Nauvoo:121:2:East/2:	town	Nauvoo	Nauvoo	121	2					East/2		
465	Nauvoo:Warrington:9:1::Lying in Southeast/4 of section 6, Township 6 North, Rage 8 West.	town	Nauvoo	Warrington	9	1						Lying in Southeast/4 of section 6, Township 6 North, Rage 8 West.	
466	Ramus/Macedonia/Webster:Macedonia:21:1 and 2::	town	Ramus/Macedonia/Webster	Macedonia	21	1 and 2							
467	Ramus/Macedonia/Webster:Macedonia:2:2 and 3::	town	Ramus/Macedonia/Webster	Macedonia	2	2 and 3							
468	Ramus/Macedonia/Webster:Macedonia:3:1::	town	Ramus/Macedonia/Webster	Macedonia	3	1							
469	Nauvoo:Hibbard:9:1::Beginning 45 feet 4 ½ inches from Southeast corner Lot 1; South 45 feet 4 ½ inches; West 6 Rods; North 45 feet 4 ½ inches; East 6 Rods to beginning, being 1/8 of said Lot.	town	Nauvoo	Hibbard	9	1						Beginning 45 feet 4 ½ inches from Southeast corner Lot 1; South 45 feet 4 ½ inches; West 6 Rods; North 45 feet 4 ½ inches; East 6 Rods to beginning, being 1/8 of said Lot.	
470	Nauvoo:Nauvoo:106:4::Commence 5 Rods 2 links South from Northeast corner; West to center of said Lot; North 5 Rods 2 links; East to Northeast corner; South to beginning.	town	Nauvoo	Nauvoo	106	4						Commence 5 Rods 2 links South from Northeast corner; West to center of said Lot; North 5 Rods 2 links; East to Northeast corner; South to beginning.	
471	Nauvoo:Nauvoo:23:1:West/2:	town	Nauvoo	Nauvoo	23	1					West/2		
472	Nauvoo:Nauvoo:23:2:Factioal:	town	Nauvoo	Nauvoo	23	2					Factioal		
473	Nauvoo:Nauvoo:23:3::	town	Nauvoo	Nauvoo	23	3							
474	Nauvoo:Kimball:2:73::	town	Nauvoo	Kimball	2	73							
475	Nauvoo:Hibbard:9:1 and 4::	town	Nauvoo	Hibbard	9	1 and 4							
476	Nauvoo:Nauvoo:146:3::	town	Nauvoo	Nauvoo	146	3							
477	Nauvoo:Nauvoo:145:4::	town	Nauvoo	Nauvoo	145	4							
478	Nauvoo:Nauvoo:145:3:Northeast/4 West/2:	town	Nauvoo	Nauvoo	145	3					Northeast/4 West/2		
479	Ramus/Macedonia/Webster:First Addition:4:1::	town	Ramus/Macedonia/Webster	First Addition	4	1							
480	Ramus/Macedonia/Webster:First Addition:4:4:East/2:	town	Ramus/Macedonia/Webster	First Addition	4	4					East/2		
481	Nauvoo:Wells:16:3::Commence 21 feet West of Southeast corner; West 21 feet on Mulholland Street; North 10 Rods; East 21 feet; South to beginning.	town	Nauvoo	Wells	16	3						Commence 21 feet West of Southeast corner; West 21 feet on Mulholland Street; North 10 Rods; East 21 feet; South to beginning.	
482	Nauvoo:Kimball:2:71::West of Green Street and North of Knight West to Mary Palmer land; North12 ½ Rods; East to center of Green Street; South 12 ½ Rods.	town	Nauvoo	Kimball	2	71						West of Green Street and North of Knight West to Mary Palmer land; North12 ½ Rods; East to center of Green Street; South 12 ½ Rods.	
483	Nauvoo:Hibbard:7:1::	town	Nauvoo	Hibbard	7	1							
484	Nauvoo:Nauvoo:104:1, 3, and 4::	town	Nauvoo	Nauvoo	104	1, 3, and 4							
485	Nauvoo:Nauvoo:147:4:West/2 West/2:	town	Nauvoo	Nauvoo	147	4					West/2 West/2		
486	Nauvoo:Nauvoo:100:2 and 3::	town	Nauvoo	Nauvoo	100	2 and 3							
